@relation hedge

@attribute word {'a bit','a bunch','a couple','a few','a little','a whole bunch','among others','and all that','and so forth','and so on','and suchlike','and the rest','correct me if I\'m wrong','et cetera','I mean','I would say','if I\'m understanding you correctly','in my mind','in my opinion','in my understanding','in my view','it\'s said','kind of','look like','looks like','more or less','my thinking','my understanding','pretty much','so far','somebody said','something or other','sort of','sounds like','the like','their impression','they said','they say','to be honest',about,almost,apparently,appear,approximately,arguably,assume,basic,basically,believe,completely,consider,could,estimate,expect,fair,fairly,feel,find,frequently,general,generally,guess,hear,imagine,know,largely,like,likely,may,maybe,might,most,mostly,much,nearly,necessarily,occasionally,often,partial,partially,perhaps,possible,possibly,practically,probable,probably,propose,rarely,read,really,recall,remember,rough,roughly,seem,seemingly,seldom,several,should,some,somebody,somehow,someone,sometimes,somewhat,somewhere,speculate,suggest,suppose,sure,technically,think,totally,understand,unlikely,unsure,usually,virtually}
@attribute POS_2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute POS_1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute POS_w {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute POS1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute POS2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute class {1,0}

@data
know,PRP,VBP,VB,VBZ,PRP$,0
know,START,PRP,VBP,PRP,RB,0
know,WP,PRP,VBP,IN,NNP,0
read,VBD,RB,VB,DT,NN,0
like,DT,VBZ,IN,DT,NN,1
seem,NNS,MD,VB,TO,VB,1
most,NNS,VBP,RBS,RB,IN,1
about,PRP$,NN,IN,NN,NN,0
'look like',VBD,RB,VB,PRP,MD,1
'a bit',PRP,VBZ,DT,IN,NN,1
like,:,RB,IN,PRP,MD,1
think,START,PRP,VBP,PRP,VBP,1
could,IN,PRP,MD,VB,VBG,0
think,VBP,RB,VB,PRP,MD,1
believe,VBD,NN,VB,DT,NN,0
think,START,PRP,VBP,DT,NN,1
some,NN,IN,DT,NN,DT,0
think,VBP,RB,VB,NNS,MD,1
about,TO,VB,IN,PRP,STOP,0
somewhere,DT,NN,RB,IN,CD,1
sure,VBP,RB,JJ,WP,VBZ,1
someone,VBN,CC,NN,RB,POS,0
may,IN,NNP,MD,VB,IN,1
could,START,PRP,MD,IN,VBN,1
like,VBG,PRP,IN,DT,.,1
like,VBP,RB,VB,VBG,PRP,0
completely,PRP,VBZ,RB,JJ,STOP,0
should,START,PRP,MD,VB,NNS,0
'a little',-RRB-,IN,DT,JJ,IN,0
read,PRP,VBP,VBN,DT,NNP,0
really,DT,WP,RB,VBP,VBG,1
about,PRP$,NN,IN,PRP,VBG,0
rough,VBD,RB,JJ,IN,IN,1
most,CC,RB,RBS,NNS,MD,1
like,START,RB,IN,PRP,VBD,1
understand,CC,RB,VBP,NN,.,0
about,VBP,RB,RB,TO,VB,1
should,JJR,NN,MD,VB,VBG,1
really,START,PRP,RB,VBZ,PRP,1
much,NNS,VBP,RB,JJR,RB,0
think,DT,NNS,VBP,PRP,VBP,1
like,PRP,VBD,IN,PRP,:,1
know,START,PRP,VBP,PRP,VBP,0
like,VBD,NN,IN,DT,:,1
really,PRP,VBZ,RB,JJ,WRB,0
could,START,PRP,MD,VB,IN,0
should,WP,PRP,MD,VB,RB,0
feel,PRP,MD,VB,PRP,VB,0
about,VBP,VBN,IN,PRP,CC,0
like,RB,VBP,IN,PRP,VBZ,1
totally,CC,RB,RB,JJ,NN,0
sure,VBP,RB,JJ,WRB,NNP,1
'kind of',PRP,VBP,NN,VBN,.,1
most,VBZ,DT,RBS,JJ,NN,0
may,START,PRP,MD,VB,DT,1
often,:,RB,RB,CC,PRP,1
imagine,MD,RB,VB,IN,PRP,1
read,NNS,MD,VB,IN,JJ,0
about,DT,NN,IN,NN,:,0
somewhat,START,PRP,RB,VBP,NN,1
really,VBP,RB,RB,VBN,NN,1
most,RB,:,RBS,STOP,STOP,1
somewhat,CC,VB,RB,JJ,.,1
about,IN,VBG,IN,NNS,RB,0
much,VBG,DT,JJ,NN,CC,1
could,RB,NNP,MD,VB,JJ,1
about,START,IN,RB,JJ,PRP,1
some,NN,:,DT,IN,PRP,1
like,RBR,NNS,IN,PRP,.,1
could,START,NNS,MD,VBN,VBG,1
feel,VB,PRP,VB,JJR,:,0
someone,CD,VBD,NN,RB,.,0
could,START,PRP,MD,VB,IN,1
should,VBG,NNP,MD,VB,IN,0
feel,PRP,RB,VBP,DT,NN,0
much,CC,RB,RB,WRB,PRP,0
could,START,PRP,MD,RB,VB,0
some,CC,VB,DT,NN,.,0
believe,VBP,RB,VB,IN,NN,1
think,START,PRP,VBP,PRP$,NN,1
about,DT,NN,IN,VBG,TO,0
like,START,JJR,IN,DT,NN,1
remember,PRP,RB,VBP,VBG,RP,0
believe,VBP,RB,VB,DT,NN,0
'kind of',VBN,DT,NN,DT,NN,0
sure,TO,VB,JJ,IN,NN,1
like,PRP,VBZ,IN,VBG,DT,1
like,CC,PRP,VBP,PRP$,NN,0
about,DT,NN,IN,NNP,NNP,0
like,DT,NNS,IN,PRP,VBD,1
some,VBP,VBN,DT,NN,IN,0
think,START,PRP,VBP,IN,PRP,1
like,-LRB-,VBZ,IN,NN,NN,1
like,DT,NNS,IN,PRP,VBD,1
guess,START,PRP,VBP,DT,VBZ,1
like,START,RB,IN,DT,.,1
'a bit',NN,IN,DT,IN,DT,1
most,VB,IN,JJS,IN,DT,1
'a bit',VBD,RB,DT,IN,NN,1
could,JJ,NN,MD,VB,NN,0
should,IN,PRP,MD,VB,VBN,0
should,VBG,JJ,MD,VB,PRP,1
read,-LRB-,VB,VB,DT,NN,0
should,VB,:,MD,DT,NN,1
much,RB,RB,JJ,IN,DT,1
like,JJ,NNS,IN,VBG,DT,1
could,WP,PRP,MD,VB,PRP,1
seem,JJS,NNS,VBP,TO,VB,1
know,VBP,RB,VB,IN,DT,1
should,START,DT,MD,VB,VBN,0
remember,PRP,MD,VB,VBZ,IN,0
'I mean',START,START,PRP,DT,IN,0
think,NN,PRP,VBP,PRP,VB,1
should,VB,NNS,MD,VB,VBN,0
find,MD,RB,VB,NN,TO,0
know,VB,PRP,VB,WRB,PRP,0
like,PRP,VBD,IN,PRP,VBD,1
seem,JJ,NNS,VBP,JJ,TO,1
about,NNP,PRP$,IN,NNP,STOP,0
read,PRP,VBP,VBN,IN,DT,0
like,PRP,RB,IN,PRP,STOP,0
like,VBG,NNS,IN,PRP,VBZ,1
feel,JJS,NNS,VBP,JJ,CC,0
read,JJ,NNS,VBP,NNS,IN,0
know,PRP,VBP,VB,NN,IN,1
maybe,RB,VBP,RB,$,CD,1
think,:,PRP,VBP,VBG,NNS,1
think,CC,PRP,VBP,DT,JJ,1
really,NNP,VBP,RB,VBN,PRP,0
about,RB,JJ,IN,DT,IN,0
sure,START,RB,JJ,WRB,DT,1
feel,PRP,RB,VBP,IN,PRP,0
like,IN,FW,IN,NNS,STOP,0
seem,PRP,RB,VBP,TO,VB,1
find,NNS,CC,VB,JJ,NN,0
seem,VBP,RB,VB,TO,VB,1
most,START,IN,JJS,JJ,NNS,0
understand,CC,PRP,VBP,DT,IN,1
much,RB,RB,JJ,STOP,STOP,0
like,JJ,NNS,IN,DT,NN,1
like,VBP,RB,VB,DT,NN,0
most,JJ,IN,JJS,IN,PRP$,1
'I would say',NN,JJ,PRP,STOP,STOP,1
really,VBP,RB,RB,JJ,IN,0
think,START,PRP,VBP,EX,VBZ,1
consider,JJ,NN,VB,PRP,DT,1
should,DT,NN,MD,VB,VBN,0
understand,START,NNS,VBP,JJR,RB,0
read,VBP,RB,VB,NNS,.,0
about,DT,RBS,IN,DT,NNS,0
about,VB,NN,IN,DT,CD,0
could,NN,PRP,MD,VB,VBN,1
really,DT,VBZ,RB,JJ,STOP,1
really,START,PRP,RB,VBP,PRP,0
really,NN,VBP,RB,JJ,STOP,0
'kind of',IN,DT,NN,NN,WDT,0
remember,MD,RB,VB,WRB,-RRB-,0
some,VBP,VBZ,DT,NN,PRP,1
like,NN,NNS,IN,DT,VBP,1
about,VBP,JJ,IN,VBG,DT,0
general,NN,NN,JJ,NN,NN,0
apparently,EX,VBP,RB,JJ,NNS,1
sure,PRP,VBP,JJ,PRP$,VBN,1
know,VBD,RB,VB,WRB,.,0
occasionally,IN,NNP,RB,VB,JJ,1
about,DT,NN,IN,PRP,.,0
'a couple',VB,TO,DT,NNS,VBD,1
most,WDT,MD,RBS,RB,VB,1
might,IN,PRP,MD,VB,TO,1
about,TO,VB,IN,WP,VBZ,0
some,VBP,RB,DT,NNS,TO,1
about,PRP,VBD,IN,VBG,NNS,0
almost,VBN,RP,RB,CD,NN,1
remember,START,PRP,VBP,DT,IN,0
think,MD,RB,VB,NNP,CC,1
someone,VB,IN,NN,WP,VBD,0
may,START,PRP,MD,RB,VB,1
'a bit',VBG,IN,DT,IN,NN,1
someone,:,RB,NN,VBZ,IN,1
'a few',PRP,VBP,DT,JJ,NN,1
about,PRP,VBZ,IN,WRB,JJ,0
most,START,CC,JJS,IN,DT,1
really,NN,MD,RB,VB,.,0
general,VBZ,DT,JJ,NN,RB,1
possible,PRP,VBZ,JJ,IN,NNP,1
should,DT,NN,MD,VB,IN,0
generally,IN,NNS,RB,STOP,STOP,1
know,START,PRP,VBP,WP,NNS,0
about,DT,VB,IN,JJ,NN,0
may,WDT,PRP,MD,VB,.,1
most,VBZ,DT,RBS,JJ,NN,0
like,VBP,RB,VB,PRP,STOP,0
feel,START,PRP,VBP,DT,JJ,1
about,NN,IN,RB,$,CD,1
like,JJ,NNS,IN,PRP,VBZ,1
think,IN,PRP,VBP,PRP,RB,1
general,DT,RB,JJ,NN,.,1
fair,VBG,DT,JJ,NN,IN,0
about,DT,VBZ,IN,CD,NN,1
remember,START,PRP,VBP,VBG,IN,0
know,RB,RB,VB,IN,PRP,0
basically,PRP,VBD,RB,JJ,JJ,1
seem,CC,FW,VBP,TO,VB,1
about,RB,VBG,IN,VBG,NN,0
think,VBP,RB,VB,DT,NN,1
'a few',VBG,IN,DT,JJ,NNS,1
almost,JJ,IN,RB,DT,JJ,1
could,NNP,CC,MD,RB,VB,0
find,NN,FW,VB,RBS,JJ,1
guess,START,PRP,VBP,EX,VBP,1
like,JJ,NN,IN,``,NNS,1
about,VBD,DT,IN,DT,NN,0
think,VBP,RB,VB,PRP,MD,1
often,START,RBR,RB,IN,RB,1
like,PRP,VBD,IN,DT,NN,1
know,VBP,RB,VB,JJ,IN,0
think,VB,RB,VB,DT,VBZ,1
much,RB,VB,JJ,IN,PRP$,1
assume,START,PRP,VBP,PRP,VBP,1
'pretty much',PRP,VBP,RB,IN,IN,1
think,START,PRP,VBP,DT,NNS,1
some,NN,IN,DT,CC,DT,1
remember,START,PRP,VBP,NNS,IN,0
remember,START,PRP,VBP,PRP$,NN,0
about,NNP,NNP,IN,DT,NNS,0
might,DT,WP,MD,RB,VB,1
could,RB,RB,MD,VB,VBN,0
'a few',MD,VB,DT,NNS,TO,1
believe,MD,RB,VB,IN,DT,1
somewhere,IN,IN,RB,RB,.,0
about,NN,NNS,IN,DT,NN,0
could,CC,PRP,MD,VB,IN,1
know,FW,FW,VBP,NN,MD,0
'kind of',NN,VBZ,NN,IN,.,1
completely,VBP,RB,RB,JJ,IN,0
like,NNP,IN,IN,NNP,STOP,1
think,START,PRP,VBP,PRP$,RB,1
'kind of',VBZ,DT,NN,NN,PRP,0
somebody,VBZ,RB,NN,PRP,VBZ,1
'a bunch',START,WP,DT,IN,JJ,1
much,VBN,RP,RB,JJ,IN,0
some,VB,RB,DT,IN,WDT,0
'a bunch',VBP,RB,DT,IN,VBN,1
about,JJ,JJ,IN,PRP,.,0
think,PRP,RB,VBP,RBS,DT,1
about,JJ,NNS,IN,NNS,STOP,0
some,NNS,IN,DT,NN,IN,0
often,RB,PRP,RB,VBP,IN,1
sometimes,NN,VBZ,RB,DT,NN,0
like,MD,RB,VB,TO,NN,0
some,CC,VB,DT,NN,.,0
know,RB,PRP,VBP,PRP,DT,1
'a few',MD,VB,DT,JJR,NNS,1
'kind of',IN,DT,NN,NN,NN,0
know,START,PRP,VBP,WP,VBZ,0
completely,VBP,RB,RB,JJ,IN,0
think,IN,PRP,VBP,PRP,MD,1
think,START,PRP,VBP,PRP$,JJS,1
know,START,PRP,VBP,PRP,VBP,1
'kind of',RP,WP,NN,NN,VBD,0
about,RB,VBG,IN,DT,NN,0
about,RB,JJ,IN,NNS,IN,0
find,MD,RB,VB,NN,TO,0
should,START,PRP,MD,VB,JJ,0
know,VBP,RB,VB,PRP$,NN,0
'a little',MD,VB,DT,RB,STOP,1
think,START,PRP,VBP,PRP,RB,1
think,NNP,FW,VBP,JJ,JJ,1
probably,JJ,CC,RB,VBD,JJR,1
possible,VBZ,DT,JJ,NN,DT,0
seem,-LRB-,CC,VB,TO,IN,1
'a few',NN,IN,DT,NNS,IN,1
know,VBP,RB,VB,PRP,STOP,0
may,NN,FW,MD,VB,TO,1
probably,PRP,VBZ,RB,NN,PRP,1
like,MD,RB,VB,TO,VB,0
might,START,PRP,MD,VB,DT,1
some,NN,VBZ,DT,NN,TO,0
might,START,DT,MD,VB,RB,1
think,START,PRP,VBP,DT,NN,1
may,IN,NNS,MD,RB,VB,1
some,MD,VB,DT,NN,RB,1
should,START,NN,MD,VB,DT,0
may,START,PRP,MD,RB,VB,1
should,RB,PRP,MD,VB,JJ,0
seemingly,JJ,NN,RB,JJ,IN,1
largely,NNPS,VBD,RB,IN,JJ,1
believe,IN,NNS,VBP,NN,VBZ,0
like,VBP,RB,VB,DT,NN,0
really,PRP,VBD,RB,VBN,IN,0
completely,VBG,IN,RB,JJ,NN,0
like,VBZ,RB,VB,PRP,.,0
most,RB,DT,RBS,JJ,STOP,0
should,IN,NN,MD,NN,DT,0
someone,TO,VB,NN,IN,VBN,0
about,NN,VBZ,IN,TO,VB,1
think,LS,MD,VB,IN,DT,1
like,RB,RB,IN,DT,.,1
like,VBP,RB,VB,NN,CC,0
basically,NNP,VBZ,RB,VBN,IN,1
like,VB,RP,IN,NN,.,1
feel,MD,RB,VB,CD,NN,0
may,NN,WDT,MD,VB,VBN,1
about,WRB,VBG,IN,NNP,:,0
know,IN,NN,VBP,NNP,VBZ,0
think,PRP,VBP,VB,PRP,VBP,1
suppose,START,PRP,VBP,PRP,VBZ,1
like,DT,JJS,IN,DT,JJ,1
some,NNP,IN,DT,NNS,PRP,1
may,:,EX,MD,VB,DT,1
about,RB,JJ,IN,DT,NN,0
should,DT,NN,MD,VB,IN,0
most,VBN,DT,RBS,JJ,CC,0
about,RB,VBN,IN,DT,NN,0
know,VB,PRP,VB,PRP,VBD,0
know,START,PRP,VBP,PRP$,NN,1
about,VBD,NN,IN,PRP$,JJ,0
really,IN,PRP,RB,VBZ,RB,1
know,VBD,RB,VB,IN,PRP,0
likely,PRP,VBZ,JJ,RB,DT,1
expect,CC,PRP,VBP,PRP$,NN,0
could,START,PRP,MD,VB,NN,0
like,VBP,RB,VB,DT,NN,0
usually,WRB,PRP,RB,VBP,NNS,1
like,PRP,VB,IN,PRP,VBP,1
about,VBG,NNS,IN,PRP,CC,0
should,IN,PRP,MD,RB,VB,0
sure,PRP,VBP,JJ,PRP$,VBN,1
maybe,NNP,VBZ,RB,JJ,TO,1
find,WP,PRP,VBP,JJ,VBZ,1
'pretty much',NNP,VBZ,RB,RB,VBD,1
possible,VBZ,RB,JJ,IN,NN,1
might,DT,NNS,MD,VB,TO,1
like,NN,CD,VBP,TO,RB,0
imagine,MD,RB,VB,WP,WDT,0
some,VBP,VB,DT,IN,DT,1
apparently,START,PRP,RB,MD,RB,1
like,DT,NNS,IN,PRP,VBD,1
think,RB,FW,VBP,DT,NN,1
about,VBP,VBG,IN,NNP,NNP,0
remember,START,RB,VB,PRP,VBZ,0
feel,JJR,NNS,VBP,DT,JJ,1
sure,',',PRP,RB,VBP,DT,1
some,POS,NNS,DT,NNS,VBD,1
like,DT,NNS,IN,NNP,NN,1
some,START,CC,DT,IN,PRP,0
really,VBP,RB,RB,JJ,IN,1
much,PRP,RB,JJ,NN,EX,1
feel,VBP,PRP,VB,RB,JJ,0
several,JJ,NN,JJ,NNS,PRP,1
completely,MD,VB,RB,VBN,IN,0
several,VBP,RB,JJ,NNS,:,1
'sounds like',START,RB,VBZ,PRP,VBP,1
could,IN,PRP,MD,RB,VB,0
think,PRP$,NN,VB,PRP,MD,1
really,DT,VBD,RB,DT,NN,1
about,TO,VB,IN,NN,RB,0
think,IN,RB,VBP,DT,NN,1
think,START,PRP,VBP,PRP,VBZ,1
like,NNS,VBG,IN,DT,JJ,1
might,DT,NN,MD,VB,PRP,1
know,PRP,DT,VBP,PRP,.,1
understand,CC,PRP,VBP,PRP$,NN,0
know,IN,PRP,VBP,NN,RB,0
like,NNPS,MD,VB,TO,VB,0
believe,VBD,PRP,VBP,IN,NNP,1
somewhere,VBP,IN,RB,WRB,EX,0
sure,CC,RB,JJ,IN,PRP,1
some,NNP,VBZ,DT,IN,DT,1
some,PRP,VBP,DT,JJ,NN,0
could,IN,PRP,MD,VB,DT,0
about,NNP,NNP,IN,WRB,PRP,0
read,VBP,RB,VBN,RP,IN,0
like,VBG,NNS,IN,``,IN,1
know,START,PRP,VBP,WP,DT,1
nearly,NNP,NNP,RB,VBD,PRP$,1
like,VB,VBN,IN,NNP,:,1
believe,START,PRP,VBP,EX,VBD,1
really,NN,WDT,RB,VBZ,PRP,0
completely,DT,PRP,RB,VBD,NN,0
about,NNP,NNP,IN,DT,NN,1
'a few',VBZ,VBN,DT,NNS,:,1
about,RB,NN,IN,DT,NN,0
much,VBZ,RB,JJ,IN,CD,1
think,START,PRP,VBP,PRP,VBD,1
about,PRP$,NN,IN,RB,JJ,0
much,RB,VBZ,JJ,NN,CC,1
some,START,START,DT,NNS,VBP,0
much,VB,DT,JJ,NN,IN,1
like,PRP,VBZ,IN,DT,NN,1
think,PRP,RB,VBP,IN,DT,1
about,JJ,NNS,IN,JJ,NNS,0
about,IN,NN,IN,DT,JJ,0
much,NN,IN,JJ,NN,CC,1
about,VBD,RB,IN,DT,NN,0
know,PRP,VBP,VB,VBZ,PRP$,0
about,RB,VBG,IN,JJ,NNS,0
much,START,RB,RB,EX,WDT,1
might,VB,NNP,MD,RB,VB,1
about,DT,VBD,IN,CD,NN,1
believe,VBP,RB,VB,PRP,MD,1
like,JJ,NN,IN,NN,CC,1
much,NN,VBZ,RB,JJR,IN,0
feel,VBP,RB,VB,JJ,IN,0
think,START,NN,VBP,NNP,JJ,1
'kind of',VB,DT,NN,NN,NNP,0
like,START,NNS,IN,NNP,STOP,1
may,START,PRP,MD,VB,RBR,1
'a few',NNP,VBP,DT,NNS,JJ,1
some,TO,VBG,DT,NNS,:,1
'a bit',VBZ,RB,DT,IN,DT,1
believe,START,NNS,VBP,NNP,VBZ,1
about,VBZ,IN,IN,NN,IN,1
know,CC,PRP,VBP,PRP,VBZ,0
know,IN,PRP,VBP,PRP,VBZ,0
almost,NN,PRP,RB,DT,CD,1
think,MD,PRP,VB,IN,IN,1
most,VBD,DT,RBS,JJ,NN,0
think,:,PRP,VBP,VBG,NNS,1
about,NN,JJ,IN,DT,:,0
know,PRP,RB,VBP,IN,NNP,0
some,START,IN,DT,NN,PRP,0
think,VBP,RB,VB,PRP,VBD,1
remember,TO,RB,VB,DT,JJ,0
likely,NN,VBZ,JJ,TO,VB,0
like,FW,VB,IN,FW,VBP,1
understand,PRP,MD,VB,WRB,DT,0
really,PRP,VBD,RB,JJ,TO,0
really,NNS,IN,RB,JJ,NNS,0
could,PRP,RB,MD,VB,PRP$,0
could,START,PRP,MD,VB,PRP,0
maybe,VBG,IN,RB,PRP,.,1
about,VB,VBG,IN,DT,JJ,0
really,NNS,NN,RB,JJ,.,0
should,START,PRP,MD,VB,JJ,0
like,PRP,VBP,IN,NN,NN,1
partially,PRP,VBD,RB,NN,CC,1
some,NN,:,DT,NN,MD,1
like,JJ,NNS,IN,NN,TO,1
know,:,PRP,VBP,PRP,MD,1
could,VBP,NN,MD,VB,VBN,0
hear,VBD,RB,VB,IN,PRP,0
could,IN,PRP,MD,VB,VBN,1
about,NN,VBZ,IN,PRP$,NN,0
think,START,PRP,VBP,DT,NN,1
understand,VBD,RB,VB,DT,JJ,0
probably,EX,VBP,RB,DT,NNS,1
'a bit',DT,NN,DT,RBR,JJ,1
possible,PRP,VBZ,JJ,DT,NN,1
feel,JJ,NN,VBP,JJ,:,0
likely,NN,MD,RB,VB,PRP$,1
may,NNP,NNP,MD,VB,VBG,1
general,DT,JJ,JJ,NN,.,1
know,RB,RB,VB,NN,IN,0
feel,VBZ,PRP,VB,JJ,STOP,0
like,PRP,MD,VB,TO,VB,0
like,START,RB,IN,IN,DT,1
like,IN,EX,IN,NNP,NNP,1
'pretty much',MD,VB,RB,NN,.,1
really,CC,RB,RB,NN,.,1
'looks like',START,RB,VBZ,FW,VBP,1
usually,VBG,PRP,RB,VBZ,VBG,1
apparently,PRP,VBD,RB,VBN,RB,1
should,IN,PRP,MD,VB,NN,0
find,DT,JJ,VB,CC,DT,0
'a few',PRP,VBP,DT,NNS,.,1
about,NN,NN,IN,DT,NN,1
understand,RB,RB,VB,PRP,.,0
think,START,PRP,VBP,NNP,VBZ,1
should,VB,NNS,MD,RB,VB,0
much,VBP,RB,JJ,NN,PRP,0
some,PRP,VBP,DT,NNS,.,0
could,START,PRP,MD,VB,JJ,1
necessarily,MD,RB,RB,VB,JJ,1
like,PRP$,NNS,IN,PRP$,FW,1
about,RB,VBD,IN,WP,VBD,0
basically,PRP$,NNS,RB,:,IN,1
usually,START,DT,RB,VBZ,IN,1
most,PRP,VBP,JJS,IN,DT,1
basic,:,PRP$,JJ,NN,VBZ,1
about,NN,VBZ,IN,NN,JJR,0
like,CC,NNS,IN,PRP,DT,1
totally,VBZ,VBN,RB,VBN,IN,0
about,MD,VB,IN,VBG,RP,0
maybe,VBP,VBN,RB,CD,NNS,1
know,PRP$,NN,VB,TO,RB,1
much,RB,RB,JJ,NN,NN,0
really,JJ,RB,RB,VBN,NN,1
'sounds like',VBZ,PRP,VBZ,PRP,VBP,1
may,NNS,WDT,MD,VB,IN,1
some,DT,:,DT,IN,PRP,0
about,VB,VBG,IN,PRP,:,0
someone,DT,WRB,NN,WP,VBZ,1
general,NN,WP$,JJ,NN,VBZ,1
'a bit',NN,VBZ,DT,IN,DT,1
like,:,MD,VB,TO,VB,0
may,NNS,NNS,MD,VB,VBZ,0
suppose,START,PRP,VBP,DT,VBZ,1
about,MD,VB,IN,DT,NN,0
suggest,START,PRP,VBP,PRP,VBN,1
about,VBZ,PRP,IN,DT,NN,0
feel,VB,CC,VB,DT,NN,0
really,WRB,PRP,RB,VBD,VBG,1
like,VBG,NNS,IN,PRP,IN,1
probably,PRP,MD,RB,VB,TO,1
much,VBD,RB,JJ,WP,PRP,0
know,VBP,RB,VB,WP,TO,1
could,JJ,WRB,MD,PRP,VB,1
'a few',NNP,NNP,DT,NNS,IN,1
think,TO,RB,VB,IN,NN,0
some,PRP,VBD,DT,JJ,NNS,0
like,VBN,NN,IN,PRP,IN,1
someone,VBD,IN,NN,MD,NN,1
some,IN,IN,DT,NN,IN,1
apparently,NN,CC,RB,PRP,VBD,1
should,PRP,RB,MD,NN,PRP,0
think,CC,PRP,VBP,DT,VBZ,1
about,RB,VB,IN,PRP,:,0
feel,START,PRP,VBP,RB,JJ,0
really,START,PRP,RB,VBP,VB,0
propose,NN,PRP,VBP,VBZ,NN,1
fairly,WDT,VBZ,RB,JJ,STOP,1
think,IN,PRP,VBP,NNP,VBD,1
might,JJ,NNS,MD,VB,TO,1
know,START,PRP,VBP,PRP,VBP,0
fair,NNP,POS,JJ,NN,IN,0
recall,VBP,RB,VB,DT,CC,0
some,RB,VBZ,DT,JJ,NNS,1
'a few',NN,IN,DT,NNS,NN,1
about,DT,NN,IN,WP,NNP,0
usually,NN,VBZ,RB,VBN,TO,1
believe,NN,NNS,VBP,IN,PRP,1
think,START,PRP,VBP,PRP,VBZ,1
read,NNS,MD,VB,IN,JJ,0
think,VBZ,PRP,VB,IN,NNP,1
should,VBP,PRP,MD,STOP,STOP,0
generally,VBZ,RB,RB,VBN,IN,1
really,PRP,VBZ,RB,JJ,IN,0
about,DT,VBD,RB,CD,NNS,1
remember,START,PRP,VBP,VBG,VBN,0
know,VBP,RB,VB,WRB,DT,1
some,VB,WRB,DT,MD,VB,0
believe,PRP,VBP,VB,PRP,VBP,1
'a few',JJ,IN,DT,JJ,NNS,1
should,VBP,CC,MD,VB,TO,0
really,START,START,RB,VBN,PRP,1
think,VBP,RB,VB,NN,VBD,1
could,UH,PRP,MD,VB,VBN,1
about,NN,VBG,IN,NN,NN,0
some,NN,IN,DT,JJ,NN,0
basically,MD,VB,RB,VBN,RP,1
think,CC,FW,VBP,JJS,NNPS,1
really,PRP,VB,RB,JJ,CC,0
much,IN,RB,JJ,IN,PRP,0
think,DT,NNPS,VBP,DT,NNS,1
think,START,PRP,VBP,VBG,DT,1
maybe,NNS,CC,RB,RB,DT,1
assume,MD,RB,VB,NNS,VBP,1
much,VBN,RB,RB,IN,PRP$,1
'a bunch',START,WP,DT,IN,NNS,1
could,IN,NN,MD,VB,VBN,1
know,VBP,RB,VB,IN,NN,0
know,START,PRP,VBP,DT,NN,0
often,CC,PRP,RB,VBP,STOP,1
think,PRP,RB,VBP,PRP,MD,1
'a few',VBD,VBN,DT,CD,NNS,1
probably,DT,VBZ,RB,VBG,TO,1
think,PRP,RB,VBP,PRP,VB,1
about,PRP,VBD,IN,NNS,NNS,0
most,IN,DT,JJS,NN,.,1
guess,START,PRP,VBP,DT,VBZ,1
much,NNS,RB,RB,IN,JJ,0
about,VBZ,VBN,IN,PRP$,NNS,0
think,START,LS,VB,DT,NN,1
may,NNP,NN,MD,VB,VBN,1
like,VBP,NNS,IN,DT,CC,1
like,DT,NN,IN,WP,NNP,1
'a little',RB,VB,DT,NN,IN,1
some,PRP,VBD,DT,JJ,NNS,1
may,START,PRP,MD,VB,JJ,1
might,IN,PRP,MD,VB,VBZ,0
seem,PRP,VBZ,VB,IN,JJS,1
think,START,PRP,VBP,NN,VBD,1
perhaps,PRP,VBD,RB,DT,NN,1
