@relation AnnaHedgeData

@attribute hedge {'a bit','a bunch','a couple','a few','a little','a whole bunch','among others','and all that','and so forth','and so on','and suchlike','and the rest','correct me if I\'m wrong','et cetera','I mean','I would say','if I\'m understanding you correctly','in my mind','in my opinion','in my understanding','in my view','it\'s said','kind of','look like','looks like','more or less','my thinking','my understanding','pretty much','so far','somebody said','something or other','sort of','sounds like','the like','their impression','they said','they say','to be honest',about,almost,apparently,appear,approximately,arguably,assume,basic,basically,believe,completely,consider,could,estimate,expect,fair,fairly,feel,find,frequently,general,generally,guess,hear,imagine,know,largely,like,likely,may,maybe,might,most,mostly,much,nearly,necessarily,occasionally,often,partial,partially,perhaps,possible,possibly,practically,probable,probably,propose,rarely,read,really,recall,remember,rough,roughly,seem,seemingly,seldom,several,should,some,somebody,somehow,someone,sometimes,somewhat,somewhere,speculate,suggest,suppose,sure,technically,think,totally,understand,unlikely,unsure,usually,virtually}

@attribute pos-2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos-1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos+1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos+2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute position numeric
@attribute agreement numeric
@attribute judgment {1,0}

@data
most,IN,DT,RBS,JJ,NN,8,0.6,0
think,PRP,MD,VB,IN,CC,5,1,1
seem,NN,WP,VBP,TO,VB,12,1,1
about,RB,VBN,IN,JJ,NN,7,1,0
like,DT,NN,IN,NNP,VBZ,10,1,1
could,START,PRP,MD,RB,VB,1,0.8,0
'a few',IN,IN,DT,NNS,IN,11,1,1
sure,TO,VB,JJ,PRP,VBD,8,0.6,1
know,START,PRP,VBP,WP,PRP,1,0.6,0
about,IN,NNS,IN,NN,NNS,6,1,0
should,VB,PRP,MD,VB,TO,4,1,0
think,PRP,MD,VB,IN,VBG,2,0.6,0
remember,MD,RB,VB,DT,JJ,16,0.8,0
might,NN,PRP,MD,VB,PRP$,13,1,1
about,VBZ,NN,IN,PRP,:,3,1,0
mostly,WP,VBD,RB,NNS,CC,23,1,1
consider,START,PRP,VBP,IN,DT,1,1,1
like,CC,NNS,IN,PRP,DT,9,1,1
like,WRB,NNS,IN,PRP,CC,5,1,1
probably,NNS,PRP,RB,VBD,:,5,1,1
think,START,PRP,VBP,PRP,VBP,1,1,1
like,VBP,RB,VB,DT,NN,4,1,0
know,START,PRP,VBP,WP,:,1,0.6,0
really,CC,DT,RB,VBZ,CC,2,0.6,0
seem,VBP,RB,VB,TO,VB,5,1,1
'they said',PRP$,NN,PRP,DT,VBD,15,0.6,0
seem,VBZ,RB,VB,TO,VB,3,1,1
apparently,NN,VBZ,RB,VBG,IN,7,1,1
about,PRP,VBD,IN,DT,JJ,2,1,0
much,VBZ,RB,JJ,NN,TO,7,0.6,0
almost,CC,IN,RB,DT,NNS,11,0.8,1
could,START,WRB,MD,PRP,VB,1,0.6,1
believe,VBP,RB,VB,PRP,STOP,3,0.8,0
like,START,VBZ,IN,DT,NNPS,1,1,1
about,VB,JJ,IN,PRP$,NNS,5,1,0
some,PRP,VBP,DT,NNS,WDT,2,0.6,1
think,VBZ,PRP,VB,IN,FW,15,1,1
should,DT,NN,MD,WRB,PRP,5,1,0
know,VB,TO,VB,JJR,:,6,1,0
know,WP,PRP,VBP,VBZ,VBG,11,1,0
'a bunch',NN,VBD,DT,IN,JJ,14,0.8,1
could,IN,PRP,MD,VB,PRP,4,0.6,0
should,CC,FW,MD,RB,VB,14,0.6,0
think,START,PRP,VBP,PDT,DT,1,0.8,1
know,:,FW,VBP,WP,NN,10,0.6,0
much,MD,IN,JJ,NN,.,35,1,1
much,VBG,RB,RB,DT,NN,7,0.8,0
may,START,PRP,MD,VB,VBN,1,0.8,1
think,VBZ,PRP,VBP,PRP,MD,4,1,1
like,:,NNS,IN,PRP,NN,6,1,1
most,VBP,IN,JJS,NNS,MD,17,0.8,1
really,NN,VBZ,RB,JJ,TO,4,1,0
believe,NN,PRP,VBP,VBD,DT,8,0.8,1
about,DT,VBZ,IN,DT,NN,2,0.8,0
'and all that',JJ,JJ,CC,STOP,STOP,4,1,1
sure,VBP,RB,JJ,-LRB-,MD,3,1,1
much,VBP,RB,JJ,NN,.,4,1,1
know,PRP,DT,VBP,WRB,DT,3,0.6,1
really,IN,PRP$,RB,NN,IN,5,0.8,1
much,MD,VB,JJ,VBN,.,12,0.8,0
should,START,CC,MD,DT,NN,1,0.8,0
guess,START,PRP,VBP,DT,VBZ,1,1,1
know,VBD,RB,VB,DT,NN,7,0.8,0
possible,VBZ,RB,JJ,DT,NN,4,0.8,1
know,VBP,RB,VB,WP,PRP,8,0.6,0
some,RB,RB,DT,JJ,JJ,65,0.8,0
may,IN,PRP,MD,VB,DT,5,0.8,1
read,VBP,RB,VB,PRP,.,10,0.8,0
think,START,LS,VB,PRP$,JJ,1,0.8,1
think,WRB,NNS,VBP,IN,DT,10,0.8,1
find,MD,RB,VB,DT,NN,28,0.8,1
sure,VBP,RB,JJ,DT,NN,4,0.8,1
most,START,PRP$,RBS,JJ,JJ,1,1,0
about,PRP,VBZ,IN,NN,CC,17,1,0
most,FW,VB,RBS,JJ,VBZ,8,0.6,1
about,PRP$,NN,IN,PRP,.,10,0.8,0
sure,PRP,VBP,JJ,PRP,VBD,4,1,1
nearly,VBD,DT,RB,$,CD,7,1,1
think,START,PRP,VBP,IN,DT,1,0.8,1
seem,START,PRP,VBP,TO,VB,1,0.6,1
understand,PRP,RB,VBP,DT,PRP,7,1,0
think,DT,NN,VBP,IN,EX,11,1,1
about,PRP,VBD,IN,DT,NN,9,1,0
find,START,PRP,VBP,PRP,JJ,1,1,1
much,RB,RB,JJ,IN,PRP,6,0.8,0
might,WRB,DT,MD,VB,VBN,6,1,1
like,RB,RB,IN,DT,JJ,15,0.8,1
really,FW,FW,RB,JJ,.,15,1,1
may,IN,PRP,MD,VB,NN,5,1,1
about,IN,VBG,IN,DT,JJ,16,1,0
much,TO,VB,RB,IN,DT,6,0.8,1
someone,NN,IN,NN,WDT,JJ,12,0.8,0
should,IN,NNS,MD,VB,PRP$,10,1,0
should,JJ,CC,MD,RB,VB,16,1,0
somewhere,NN,NN,RB,RB,CC,68,0.6,0
like,VB,NNS,IN,NNPS,CC,5,0.8,1
'a little',PRP,VBZ,DT,NN,TO,2,1,1
'a little',NNS,CC,DT,JJR,IN,22,1,1
could,NNS,WDT,MD,VB,NN,10,1,1
'sort of',DT,JJ,NN,NN,NN,4,0.8,0
feel,VBZ,PRP,VB,DT,JJ,2,1,0
some,RB,IN,DT,WP,MD,2,1,1
think,START,PRP,VBP,PRP,VBZ,1,1,1
think,NNS,WP,VBP,RB,IN,6,1,1
think,START,PRP,VBP,NNP,VBD,1,0.8,1
perhaps,NNP,VBP,RB,RB,DT,4,1,1
think,START,PRP,VBP,DT,NN,1,1,1
about,VBD,NN,IN,DT,NNP,3,1,0
read,PRP,MD,VB,IN,DT,2,0.6,0
about,PRP,VBP,IN,PRP,CC,16,1,0
remember,PRP,RB,VBP,DT,NN,2,0.8,0
several,NN,VBD,JJ,JJ,NNS,9,1,1
might,DT,JJ,MD,VB,JJ,12,1,1
like,PRP,VBZ,IN,VBG,IN,2,1,1
think,VBP,RB,VB,RB,.,3,1,1
could,NNS,PRP,MD,VB,RB,29,1,0
know,PRP,MD,VB,RBR,IN,6,1,0
about,NNP,IN,IN,CD,NN,20,0.8,1
feel,VBP,PRP,VB,JJR,.,7,1,0
know,IN,PRP,VBP,DT,NNPS,20,1,0
'kind of',PRP,VBZ,NN,JJ,CC,2,1,1
like,VBZ,RB,VB,IN,PRP$,3,1,1
like,PRP,NNS,IN,PRP,.,4,0.8,0
know,PRP,VBP,VB,VBZ,PRP$,8,0.6,0
know,START,PRP,VBP,PRP,RB,1,1,0
know,WP,PRP,VBP,IN,NNP,15,1,0
read,VBD,RB,VB,DT,NN,3,0.8,0
like,DT,VBZ,IN,DT,NN,3,1,1
seem,NNS,MD,VB,TO,VB,9,1,1
most,NNS,VBP,RBS,RB,IN,4,0.6,1
about,PRP$,NN,IN,NN,NN,9,1,0
'look like',VBD,RB,VB,PRP,MD,4,1,1
'a bit',PRP,VBZ,DT,IN,NN,3,1,1
like,:,RB,IN,PRP,MD,24,0.8,1
think,START,PRP,VBP,PRP,VBP,1,1,1
could,IN,PRP,MD,VB,VBG,45,0.6,0
think,VBP,RB,VB,PRP,MD,4,1,1
believe,VBD,NN,VB,DT,NN,3,1,0
think,START,PRP,VBP,DT,NN,1,0.6,1
some,NN,IN,DT,NN,DT,8,0.6,0
think,VBP,RB,VB,NNS,MD,7,1,1
about,TO,VB,IN,PRP,STOP,11,1,0
somewhere,DT,NN,RB,IN,CD,6,1,1
sure,VBP,RB,JJ,WP,VBZ,3,1,1
someone,VBN,CC,NN,RB,POS,15,0.8,0
may,IN,NNP,MD,VB,IN,7,1,1
could,START,PRP,MD,IN,VBN,1,1,1
like,VBG,PRP,IN,DT,.,16,1,1
like,VBP,RB,VB,VBG,PRP,22,1,0
completely,PRP,VBZ,RB,JJ,STOP,3,1,0
should,START,PRP,MD,VB,NNS,1,1,0
'a little',-RRB-,IN,DT,JJ,IN,13,1,0
read,PRP,VBP,VBN,DT,NNP,5,1,0
read,NN,TO,VB,DT,JJ,16,1,0
really,DT,WP,RB,VBP,VBG,6,0.8,1
about,PRP$,NN,IN,PRP,VBG,5,1,0
rough,VBD,RB,JJ,IN,IN,4,0.6,1
most,CC,RB,RBS,NNS,MD,19,0.8,1
like,START,RB,IN,PRP,VBD,1,1,1
understand,CC,RB,VBP,NN,.,10,1,0
about,VBP,RB,RB,TO,VB,4,0.8,1
should,JJR,NN,MD,VB,VBG,19,0.8,1
really,START,PRP,RB,VBZ,PRP,1,0.6,1
much,NNS,VBP,RB,JJR,RB,2,1,0
think,DT,NNS,VBP,PRP,VBP,5,1,1
like,PRP,VBD,IN,PRP,:,38,0.8,1
know,START,PRP,VBP,PRP,VBP,1,0.6,0
like,VBD,NN,IN,DT,:,3,1,1
really,PRP,VBZ,RB,JJ,WRB,18,0.8,0
could,START,PRP,MD,VB,IN,1,0.6,0
should,WP,PRP,MD,VB,RB,8,1,0
feel,PRP,MD,VB,PRP,VB,2,1,0
about,VBP,VBN,IN,PRP,CC,7,0.8,0
like,RB,VBP,IN,PRP,VBZ,3,1,1
totally,CC,RB,RB,JJ,NN,2,0.8,0
sure,VBP,RB,JJ,WRB,NNP,3,0.8,1
'kind of',PRP,VBP,NN,VBN,.,5,1,1
most,VBZ,DT,RBS,JJ,NN,4,1,0
may,START,PRP,MD,VB,DT,1,1,1
often,:,RB,RB,CC,PRP,12,0.8,1
imagine,MD,RB,VB,IN,PRP,3,0.6,1
read,NNS,MD,VB,IN,JJ,6,1,0
about,DT,NN,IN,NN,:,11,1,0
somewhat,START,PRP,RB,VBP,NN,1,1,1
really,VBP,RB,RB,VBN,NN,3,1,1
most,RB,:,RBS,STOP,STOP,10,0.6,1
somewhat,CC,VB,RB,JJ,.,24,0.8,1
about,IN,VBG,IN,NNS,RB,6,0.8,0
much,VBG,DT,JJ,NN,CC,3,0.6,1
could,RB,NNP,MD,VB,JJ,2,0.6,1
about,START,IN,RB,JJ,PRP,1,1,1
some,NN,:,DT,IN,PRP,9,0.6,1
like,RBR,NNS,IN,PRP,.,4,1,1
could,START,NNS,MD,VBN,VBG,1,0.6,1
feel,VB,PRP,VB,JJR,:,13,1,0
someone,CD,VBD,NN,RB,.,4,0.8,0
could,START,PRP,MD,VB,IN,1,0.8,1
should,VBG,NNP,MD,VB,IN,7,0.6,0
feel,PRP,RB,VBP,DT,NN,2,0.8,0
much,CC,RB,RB,WRB,PRP,11,0.6,0
could,START,PRP,MD,RB,VB,1,0.8,0
some,CC,VB,DT,NN,.,11,0.6,0
believe,VBP,RB,VB,IN,NN,3,1,1
think,START,PRP,VBP,PRP$,NN,1,1,1
about,DT,NN,IN,VBG,TO,4,1,0
like,START,JJR,IN,DT,NN,1,1,1
remember,PRP,RB,VBP,VBG,RP,2,0.6,0
believe,VBP,RB,VB,DT,NN,18,0.8,0
'kind of',VBN,DT,NN,DT,NN,13,0.6,0
sure,TO,VB,JJ,IN,NN,9,0.6,1
like,PRP,VBZ,IN,VBG,DT,2,1,1
like,CC,PRP,VBP,PRP$,NN,2,0.8,0
about,DT,NN,IN,NNP,NNP,6,0.8,0
like,DT,NNS,IN,PRP,VBD,12,0.8,1
like,-RRB-,WDT,IN,NNP,NNP,28,0.8,1
some,VBP,VBN,DT,NN,IN,25,0.6,0
think,START,PRP,VBP,IN,PRP,1,0.8,1
like,-LRB-,VBZ,IN,NN,NN,9,1,1
like,DT,NNS,IN,PRP,VBD,12,1,1
like,-RRB-,WDT,IN,NNP,NNP,28,1,1
guess,START,PRP,VBP,DT,VBZ,1,1,1
like,START,RB,IN,DT,.,1,1,1
'a bit',NN,IN,DT,IN,DT,4,0.8,1
most,VB,IN,JJS,IN,DT,31,0.8,1
'a bit',VBD,RB,DT,IN,NN,3,1,1
could,JJ,NN,MD,VB,NN,3,0.6,0
should,IN,PRP,MD,VB,VBN,33,1,0
should,VBG,JJ,MD,VB,PRP,2,1,1
read,-LRB-,VB,VB,DT,NN,2,0.8,0
should,VB,:,MD,DT,NN,7,0.8,1
much,RB,RB,JJ,IN,DT,5,0.8,1
like,JJ,NNS,IN,VBG,DT,11,0.8,1
could,WP,PRP,MD,VB,PRP,8,0.6,1
seem,JJS,NNS,VBP,TO,VB,19,0.8,1
know,VBP,RB,VB,IN,DT,3,1,1
should,START,DT,MD,VB,VBN,1,0.8,0
remember,PRP,MD,VB,VBZ,IN,14,0.6,0
'I mean',START,START,PRP,DT,IN,0,0.8,0
think,NN,PRP,VBP,PRP,VB,7,0.8,1
should,VB,NNS,MD,VB,VBN,9,0.6,0
find,MD,RB,VB,NN,TO,15,1,0
know,VB,PRP,VB,WRB,PRP,28,0.6,0
like,PRP,VBD,IN,PRP,VBD,8,1,1
seem,JJ,NNS,VBP,JJ,TO,3,1,1
about,NNP,PRP$,IN,NNP,STOP,2,1,0
read,PRP,VBP,VBN,IN,DT,4,0.6,0
like,PRP,RB,IN,PRP,STOP,2,1,0
like,VBG,NNS,IN,PRP,VBZ,32,0.8,1
feel,JJS,NNS,VBP,JJ,CC,2,0.8,0
read,JJ,NNS,VBP,NNS,IN,6,0.8,0
know,PRP,VBP,VB,NN,IN,5,0.6,1
maybe,RB,VBP,RB,$,CD,3,1,1
think,:,PRP,VBP,VBG,NNS,17,1,1
think,CC,PRP,VBP,DT,JJ,11,0.8,1
really,NNP,VBP,RB,VBN,PRP,10,0.8,0
about,RB,JJ,IN,DT,IN,4,1,0
sure,START,RB,JJ,WRB,DT,1,0.8,1
feel,PRP,RB,VBP,IN,PRP,2,0.6,0
like,IN,FW,IN,NNS,STOP,7,0.8,0
seem,PRP,RB,VBP,TO,VB,13,1,1
find,NNS,CC,VB,JJ,NN,20,0.8,0
seem,VBP,RB,VB,TO,VB,9,0.8,1
most,START,IN,JJS,JJ,NNS,1,0.6,0
understand,CC,PRP,VBP,DT,IN,7,0.6,1
much,RB,RB,JJ,STOP,STOP,5,1,0
like,JJ,NNS,IN,DT,NN,9,0.8,1
like,VBP,RB,VB,DT,NN,10,0.8,0
most,JJ,IN,JJS,IN,PRP$,6,0.8,1
'I would say',NN,JJ,PRP,STOP,STOP,7,1,1
really,VBP,RB,RB,JJ,IN,4,0.8,0
think,START,PRP,VBP,EX,VBZ,1,1,1
consider,JJ,NN,VB,PRP,DT,38,1,1
should,DT,NN,MD,VB,VBN,6,1,0
understand,START,NNS,VBP,JJR,RB,1,0.8,0
read,VBP,RB,VB,NNS,.,10,1,0
about,DT,RBS,IN,DT,NNS,5,1,0
about,VB,NN,IN,DT,CD,31,0.8,0
could,NN,PRP,MD,VB,VBN,3,1,1
really,DT,VBZ,RB,JJ,STOP,3,0.8,1
really,START,PRP,RB,VBP,PRP,1,0.6,0
really,NN,VBP,RB,JJ,STOP,4,0.8,0
'kind of',IN,DT,NN,NN,WDT,17,1,0
remember,MD,RB,VB,WRB,-RRB-,9,0.6,0
some,VBP,VBZ,DT,NN,PRP,13,0.8,1
like,NN,NNS,IN,DT,VBP,4,1,1
about,VBP,JJ,IN,VBG,DT,3,1,0
general,NN,NN,JJ,NN,NN,10,0.8,0
apparently,EX,VBP,RB,JJ,NNS,2,0.8,1
sure,PRP,VBP,JJ,PRP$,VBN,2,0.8,1
know,VBD,RB,VB,WRB,.,24,0.6,0
occasionally,IN,NNP,RB,VB,JJ,7,1,1
about,DT,NN,IN,PRP,.,13,0.8,0
'a couple',VB,TO,DT,NNS,VBD,7,1,1
most,WDT,MD,RBS,RB,VB,6,0.6,1
might,IN,PRP,MD,VB,TO,5,1,1
about,TO,VB,IN,WP,VBZ,20,1,0
some,VBP,RB,DT,NNS,TO,16,0.8,1
about,PRP,VBD,IN,VBG,NNS,6,1,0
almost,VBN,RP,RB,CD,NN,4,0.8,1
remember,START,PRP,VBP,DT,IN,1,0.8,0
think,MD,RB,VB,NNP,CC,3,1,1
someone,VB,IN,NN,WP,VBD,7,0.8,0
may,START,PRP,MD,RB,VB,1,1,1
'a bit',VBG,IN,DT,IN,NN,19,0.8,1
someone,:,RB,NN,VBZ,IN,14,0.6,1
'a few',PRP,VBP,DT,JJ,NN,3,1,1
about,PRP,VBZ,IN,WRB,JJ,4,0.6,0
most,START,CC,JJS,IN,DT,1,0.6,1
most,CC,RB,RBS,NNS,VBP,10,0.6,1
really,NN,MD,RB,VB,.,8,0.6,0
general,VBZ,DT,JJ,NN,RB,4,1,1
possible,PRP,VBZ,JJ,IN,NNP,2,0.8,1
should,DT,NN,MD,VB,IN,7,1,0
generally,IN,NNS,RB,STOP,STOP,9,1,1
know,START,PRP,VBP,WP,NNS,1,0.6,0
about,DT,VB,IN,JJ,NN,11,1,0
may,WDT,PRP,MD,VB,.,16,0.8,1
most,VBZ,DT,RBS,JJ,NN,5,0.6,0
like,VBP,RB,VB,PRP,STOP,4,1,0
feel,START,PRP,VBP,DT,JJ,1,1,1
about,NN,IN,RB,$,CD,19,0.8,1
like,JJ,NNS,IN,PRP,VBZ,4,1,1
think,IN,PRP,VBP,PRP,RB,18,0.8,1
general,DT,RB,JJ,NN,.,5,1,1
fair,VBG,DT,JJ,NN,IN,4,0.6,0
about,DT,VBZ,IN,CD,NN,2,1,1
remember,START,PRP,VBP,VBG,IN,1,0.8,0
know,RB,RB,VB,IN,PRP,4,0.6,0
know,PRP,MD,VB,IN,PRP,8,0.6,0
basically,PRP,VBD,RB,JJ,JJ,16,0.8,1
seem,CC,FW,VBP,TO,VB,9,1,1
about,RB,VBG,IN,VBG,NN,10,1,0
think,VBP,RB,VB,DT,NN,3,1,1
'a few',VBG,IN,DT,JJ,NNS,6,0.8,1
almost,JJ,IN,RB,DT,JJ,28,1,1
could,NNP,CC,MD,RB,VB,15,0.8,0
find,NN,FW,VB,RBS,JJ,7,1,1
guess,START,PRP,VBP,EX,VBP,1,1,1
like,JJ,NN,IN,``,NNS,7,1,1
about,VBD,DT,IN,DT,NN,5,1,0
think,VBP,RB,VB,PRP,MD,9,1,1
often,START,RBR,RB,IN,RB,1,0.8,1
like,PRP,VBD,IN,DT,NN,3,1,1
know,VBP,RB,VB,JJ,IN,18,1,0
think,VB,RB,VB,DT,VBZ,3,1,1
much,RB,VB,JJ,IN,PRP$,4,1,1
assume,START,PRP,VBP,PRP,VBP,1,0.8,1
'pretty much',PRP,VBP,RB,IN,IN,14,0.8,1
think,START,PRP,VBP,DT,NNS,1,0.8,1
some,NN,IN,DT,CC,DT,22,0.8,1
remember,START,PRP,VBP,NNS,IN,1,0.8,0
remember,START,PRP,VBP,PRP$,NN,1,0.8,0
about,NNP,NNP,IN,DT,NNS,4,1,0
might,DT,WP,MD,RB,VB,4,1,1
could,RB,RB,MD,VB,VBN,19,0.8,0
'a few',MD,VB,DT,NNS,TO,3,1,1
believe,MD,RB,VB,IN,DT,3,0.8,1
somewhere,IN,IN,RB,RB,.,7,0.8,0
about,NN,NNS,IN,DT,NN,7,1,0
could,CC,PRP,MD,VB,IN,18,1,1
know,FW,FW,VBP,NN,MD,2,0.6,0
'kind of',NN,VBZ,NN,IN,.,7,0.6,1
completely,VBP,RB,RB,JJ,IN,3,1,0
like,NNP,IN,IN,NNP,STOP,2,1,1
think,START,PRP,VBP,PRP$,RB,1,1,1
'kind of',VBZ,DT,NN,NN,PRP,4,1,0
somebody,VBZ,RB,NN,PRP,VBZ,3,0.8,1
'a bunch',START,WP,DT,IN,JJ,1,1,1
much,VBN,RP,RB,JJ,IN,8,0.8,0
some,VB,RB,DT,IN,WDT,11,0.5,0
some,RB,IN,DT,VBZ,VBN,19,0.5,0
'a bunch',VBP,RB,DT,IN,VBN,4,1,1
about,JJ,JJ,IN,PRP,.,13,0.8,0
think,PRP,RB,VBP,RBS,DT,2,1,1
about,JJ,NNS,IN,NNS,STOP,13,0.8,0
some,NNS,IN,DT,NN,IN,23,0.6,0
often,RB,PRP,RB,VBP,IN,11,0.8,1
sometimes,NN,VBZ,RB,DT,NN,2,0.6,0
like,MD,RB,VB,TO,NN,3,0.8,0
some,CC,VB,DT,NN,.,17,0.8,0
know,RB,PRP,VBP,PRP,DT,2,0.6,1
'a few',MD,VB,DT,JJR,NNS,13,1,1
'kind of',IN,DT,NN,NN,NN,22,1,0
know,START,PRP,VBP,WP,VBZ,1,0.8,0
completely,VBP,RB,RB,JJ,IN,24,1,0
think,IN,PRP,VBP,PRP,MD,3,1,1
think,START,PRP,VBP,PRP$,JJS,1,1,1
know,START,PRP,VBP,PRP,VBP,1,0.8,1
'kind of',RP,WP,NN,NN,VBD,3,1,0
about,RB,VBG,IN,DT,NN,4,1,0
about,RB,JJ,IN,NNS,IN,6,1,0
find,MD,RB,VB,NN,TO,3,1,0
should,START,PRP,MD,VB,JJ,1,1,0
know,VBP,RB,VB,PRP$,NN,3,0.8,0
'a little',MD,VB,DT,RB,STOP,3,1,1
think,START,PRP,VBP,PRP,RB,1,1,1
think,NNP,FW,VBP,JJ,JJ,2,1,1
probably,JJ,CC,RB,VBD,JJR,6,1,1
possible,VBZ,DT,JJ,NN,DT,3,0.8,0
'a few',IN,NNS,DT,NNS,NNP,9,0.8,1
seem,-LRB-,CC,VB,TO,IN,2,1,1
'a few',NN,IN,DT,NNS,IN,21,1,1
know,VBP,RB,VB,PRP,STOP,3,0.8,0
may,NN,FW,MD,VB,TO,9,1,1
probably,PRP,VBZ,RB,NN,PRP,2,1,1
like,MD,RB,VB,TO,VB,14,1,0
might,START,PRP,MD,VB,DT,1,0.8,1
some,NN,VBZ,DT,NN,TO,11,0.8,0
might,START,DT,MD,VB,RB,1,1,1
think,START,PRP,VBP,DT,NN,1,1,1
may,IN,NNS,MD,RB,VB,4,1,1
some,MD,VB,DT,NN,RB,7,0.8,1
should,START,NN,MD,VB,DT,1,1,0
may,START,PRP,MD,RB,VB,1,1,1
should,RB,PRP,MD,VB,JJ,28,1,0
seemingly,JJ,NN,RB,JJ,IN,3,1,1
largely,NNPS,VBD,RB,IN,JJ,16,1,1
believe,IN,NNS,VBP,NN,VBZ,5,0.6,0
like,VBP,RB,VB,DT,NN,4,0.8,0
really,PRP,VBD,RB,VBN,IN,2,0.6,0
completely,VBG,IN,RB,JJ,NN,20,1,0
like,VBZ,RB,VB,PRP,.,17,1,0
most,RB,DT,RBS,JJ,STOP,5,1,0
should,IN,NN,MD,NN,DT,4,1,0
someone,TO,VB,NN,IN,VBN,26,0.6,0
about,NN,VBZ,IN,TO,VB,6,1,1
think,LS,MD,VB,IN,DT,2,0.8,1
'a little',TO,VB,DT,NN,IN,6,1,1
like,RB,RB,IN,DT,.,4,1,1
like,VBP,RB,VB,NN,CC,4,1,0
basically,NNP,VBZ,RB,VBN,IN,14,1,1
like,VB,RP,IN,NN,.,5,0.8,1
feel,MD,RB,VB,CD,NN,10,1,0
may,NN,WDT,MD,VB,VBN,7,0.6,1
about,WRB,VBG,IN,NNP,:,5,0.9,0
about,VBD,RP,IN,PRP$,NN,14,0.9,0
know,IN,NN,VBP,NNP,VBZ,4,0.6,0
think,PRP,VBP,VB,PRP,VBP,2,1,1
suppose,START,PRP,VBP,PRP,VBZ,1,1,1
like,DT,JJS,IN,DT,JJ,6,1,1
some,NNP,IN,DT,NNS,PRP,5,0.6,1
may,:,EX,MD,VB,DT,63,1,1
about,RB,JJ,IN,DT,NN,5,1,0
should,DT,NN,MD,VB,IN,8,0.8,0
most,VBN,DT,RBS,JJ,CC,6,0.8,0
about,RB,VBN,IN,DT,NN,4,1,0
know,VB,PRP,VB,PRP,VBD,9,1,0
know,START,PRP,VBP,PRP$,NN,1,0.6,1
about,VBD,NN,IN,PRP$,JJ,43,1,0
really,IN,PRP,RB,VBZ,RB,12,1,1
know,VBD,RB,VB,IN,PRP,3,0.6,0
'a bit',RP,PRP,DT,IN,PRP,15,1,1
likely,PRP,VBZ,JJ,RB,DT,2,1,1
expect,CC,PRP,VBP,PRP$,NN,11,1,0
could,START,PRP,MD,VB,NN,1,0.8,0
like,VBP,RB,VB,DT,NN,13,0.8,0
usually,WRB,PRP,RB,VBP,NNS,10,1,1
like,PRP,VB,IN,PRP,VBP,15,0.8,1
about,VBG,NNS,IN,PRP,CC,6,1,0
should,IN,PRP,MD,RB,VB,13,0.8,0
sure,PRP,VBP,JJ,PRP$,VBN,2,1,1
maybe,NNP,VBZ,RB,JJ,TO,2,1,1
find,WP,PRP,VBP,JJ,VBZ,2,0.8,1
'pretty much',NNP,VBZ,RB,RB,VBD,2,1,1
possible,VBZ,RB,JJ,IN,NN,4,0.8,1
might,DT,NNS,MD,VB,TO,8,1,1
like,NN,CD,VBP,TO,RB,15,0.8,0
imagine,MD,RB,VB,WP,WDT,22,1,0
some,VBP,VB,DT,IN,DT,3,0.8,1
apparently,START,PRP,RB,MD,RB,1,1,1
like,DT,NNS,IN,PRP,VBD,12,0.9,1
like,-RRB-,WDT,IN,NNP,NNP,28,0.9,1
think,RB,FW,VBP,DT,NN,2,1,1
about,VBP,VBG,IN,NNP,NNP,3,1,0
